Date/Time,3m Temp,5m Temp,7m Temp,Surface PAR,Air Temp,Wind Speed,Wind Direction
7/1/19 0:03,21.19,20.85,17.71,5,17.9,0.8,21
7/1/19 0:18,21.24,20.89,17.93,6,17.8,1.7,339
7/1/19 0:33,21.29,20.91,18.41,9,17.8,1.4,324
7/1/19 0:48,21.38,20.91,18.56,8,18,1.6,342
7/1/19 1:03,21.35,20.92,18.81,8,18.4,0.9,324
7/1/19 1:18,21.32,20.91,18.91,6,18,1,347
7/1/19 1:33,21.25,20.85,18.64,8,18,1.5,2
7/1/19 1:48,21.06,20.9,18.43,6,17.7,0.6,334
7/1/19 2:03,21.08,20.81,17.93,5,17.5,1.5,344
7/1/19 2:18,21.03,20.88,17.91,6,17.5,1.2,354
7/1/19 2:33,21,20.46,17.97,8,17.3,1.8,351
7/1/19 2:48,20.99,20.87,18.16,8,16.9,0.4,27
7/1/19 3:03,21,20.88,17.86,8,16.8,0.7,90
7/1/19 3:18,21.02,20.84,18.07,6,17.4,2.8,330
7/1/19 3:33,20.98,20.84,18.07,8,17.8,3.1,322
7/1/19 3:48,20.96,20.84,18.32,6,17.7,3,321
7/1/19 4:03,20.88,20.79,18.34,6,17.7,2.8,315
7/1/19 4:18,20.87,20.82,18.26,8,17.3,1.7,345
7/1/19 4:33,20.85,20.74,18.15,8,17.1,1.8,333
7/1/19 4:48,20.87,20.77,18.08,12,16.8,1.8,324
7/1/19 5:03,20.85,20.61,17.19,16,16.8,2.3,334
7/1/19 5:18,20.83,20.59,16.88,24,16.7,2.7,312
7/1/19 5:33,20.83,20.16,16.56,32,16.9,2,312
7/1/19 5:48,20.82,20.03,16.3,48,16.6,1.4,325
7/1/19 6:03,20.77,19.98,16.49,66,16.8,0.8,347
7/1/19 6:18,20.79,20.09,16.92,97,16.8,1.2,322
7/1/19 6:33,20.82,19.91,17.38,112,17.6,2.2,346
7/1/19 6:48,20.81,19.74,18.32,158,17.9,1.2,351
7/1/19 7:03,20.8,19.74,17.61,168,18.5,2.3,342
7/1/19 7:18,20.67,19.78,17.91,247,18.9,2,336
7/1/19 7:33,20.79,19.83,17.01,195,19.4,1,316
7/1/19 7:48,20.71,19.77,17.86,228,20.9,0.9,0
7/1/19 8:03,20.72,19.64,17.75,317,20.8,0.7,346
7/1/19 8:18,20.82,19.64,17.67,465,20.4,1.9,336
7/1/19 8:33,20.81,19.36,17.92,595,20.2,2.3,347
7/1/19 8:48,20.88,19.36,18,400,20.4,2.1,336
7/1/19 9:03,20.84,19.09,18.05,284,20.8,2.2,323
7/1/19 9:18,20.86,19.29,18.13,741,20.7,2.9,319
7/1/19 9:33,20.82,19.5,17.98,670,21.4,1.4,355
7/1/19 9:48,20.84,19.59,17.79,614,22.2,1.5,337
7/1/19 10:03,20.78,19.84,17.66,811,22.2,0.6,0
7/1/19 10:18,20.86,19.56,17.43,995,23.7,2.1,333
7/1/19 10:33,20.95,20.46,17.8,732,23.6,1.3,307
7/1/19 10:48,20.91,20.57,17.72,964,23.8,0.9,0
7/1/19 11:03,20.89,20.25,17.58,634,23.8,0.9,310
7/1/19 11:18,20.92,20.46,17.55,795,23.9,0.8,12
7/1/19 11:33,20.9,19.77,17.67,690,24.4,1.6,321
7/1/19 11:48,20.9,20.09,17.84,826,24.1,1.5,9
7/1/19 12:03,20.93,19.51,17.75,919,24.8,1.8,353
7/1/19 12:18,20.86,20.33,17.86,1060,25.1,2.5,351
7/1/19 12:33,20.88,20.44,17.83,1061,25,1.7,307
7/1/19 12:48,20.96,20.43,17.28,636,25.6,2.7,318
7/1/19 13:03,21,20.16,17.39,1944,25.6,2.9,317
7/1/19 13:18,20.99,20.26,17.56,1321,26.1,2.5,323
7/1/19 13:33,21.02,20.4,17.8,1332,25.6,2.4,353
7/1/19 13:48,21.04,20.4,17.71,807,26.3,3,314
7/1/19 14:03,21.13,20.48,17.82,1030,26.5,2,328
7/1/19 14:18,21.14,20.87,17.84,256,25.9,3.3,321
7/1/19 14:33,21.12,20.92,17.63,712,25.9,3.5,309
7/1/19 14:48,21.13,20.83,17.66,657,26.4,2.2,337
7/1/19 15:03,21.15,20.84,17.61,507,26.9,2.1,330
7/1/19 15:18,21.19,21.01,17.54,447,26.9,1.5,332
7/1/19 15:33,21.28,19.94,17.5,769,27,2.2,307
7/1/19 15:48,21.23,20.39,17.5,178,27.6,3.2,317
7/1/19 16:03,21.24,19.83,17.3,199,27.7,2.3,330
7/1/19 16:18,21.21,20.24,17.5,111,27.6,1,0
7/1/19 16:33,21.22,20.11,17.53,141,28,0.9,305
7/1/19 16:48,21.6,20.09,17.08,156,27.8,0.7,359
7/1/19 17:03,21.53,19.85,17.27,142,27.9,0.6,26
7/1/19 17:18,21.48,19.42,17.35,90,27.7,0.9,118
7/1/19 17:33,21.42,19.39,17.38,79,29,1.1,308
7/1/19 17:48,21.53,19.51,17.38,81,28.4,1,359
7/1/19 18:03,21.55,19.35,17.59,70,28.1,1.1,354
7/1/19 18:18,21.51,19.39,17.65,108,28.1,2,341
7/1/19 18:33,21.4,19.53,17.95,43,28.3,0.6,325
7/1/19 18:48,21.37,19.07,18.06,67,29.4,0,0
7/1/19 19:03,21.4,19.17,18.17,32,27.1,0.4,6
7/1/19 19:18,21.43,19.78,18.24,25,26.4,0.7,354
7/1/19 19:33,21.53,19.71,17.91,16,24.9,1.2,318
7/1/19 19:48,21.59,20.01,17.57,10,24.5,1.2,319
7/1/19 20:03,21.5,20.39,18.21,9,24.6,0.6,337
7/1/19 20:18,21.43,20.69,17.86,5,24.2,0,0
7/1/19 20:33,21.58,20.84,18.21,1,24.1,0,0
7/1/19 20:48,21.56,20.92,18.34,6,22.7,1,314
7/1/19 21:03,21.56,20.82,18.75,5,22.3,0.8,310
7/1/19 21:18,21.64,20.92,18.58,5,22.2,0.7,315
7/1/19 21:33,21.5,20.63,18.76,5,21.9,2.1,317
7/1/19 21:48,21.5,20.57,18.4,5,21.6,0.9,108
7/1/19 22:03,21.55,20.72,18.33,3,21.2,0,0
7/1/19 22:18,21.57,20.77,18.38,6,20.8,1,312
7/1/19 22:33,21.51,20.78,18.51,5,20.5,0.8,318
7/1/19 22:48,21.53,20.78,18.57,3,20.6,0.3,229
7/1/19 23:03,21.53,20.79,18.35,6,20.5,0.3,292
7/1/19 23:18,21.45,20.74,18.45,6,20.5,0,0
7/1/19 23:33,21.55,20.66,18.37,6,20.6,0,0
7/1/19 23:48,21.55,20.67,18.54,5,20.6,0,0
7/2/19 0:03,21.57,20.39,18.52,5,20.5,0,292
7/2/19 0:18,21.54,20.48,18.48,5,20.1,0.5,168
7/2/19 0:33,21.59,20.55,18.51,5,19.8,0.3,257
7/2/19 0:48,21.61,20.69,18.6,5,20,0,0
7/2/19 1:03,21.61,20.73,18.63,5,19.9,0.5,309
7/2/19 1:18,21.62,20.76,18.67,5,19.7,0.9,308
7/2/19 1:33,21.67,20.76,18.73,6,19.3,0.6,326
7/2/19 1:48,21.64,20.78,18.76,5,19.4,0.3,90
7/2/19 2:03,21.66,20.81,18.77,5,19.6,0,0
7/2/19 2:18,21.66,20.83,18.73,6,19.7,0,0
7/2/19 2:33,21.66,20.89,18.69,5,19.5,0.8,228
7/2/19 2:48,21.51,20.9,18.66,5,19.5,0.5,236
7/2/19 3:03,21.49,20.89,18.61,6,19.4,0.5,125
7/2/19 3:18,21.49,20.89,18.58,5,19.5,0,0
7/2/19 3:33,21.49,20.91,18.62,5,19.6,0,0
7/2/19 3:48,21.5,20.9,18.63,6,19.8,0,0
7/2/19 4:03,21.44,20.91,18.64,6,19.6,0,0
7/2/19 4:18,21.5,20.9,18.58,6,19.2,0.4,0
7/2/19 4:33,21.58,20.92,18.56,6,19.1,0.7,302
7/2/19 4:48,21.81,20.95,18.41,8,19.4,0.4,233
7/2/19 5:03,21.8,20.98,18.19,8,19.5,0.5,327
7/2/19 5:18,21.77,20.93,18.29,18,19.4,0.4,0
7/2/19 5:33,21.74,20.86,18.5,15,19.5,0.3,0
7/2/19 5:48,21.76,20.81,18.23,25,19.6,0,0
7/2/19 6:03,21.75,20.75,18.14,32,19.9,1,316
7/2/19 6:18,21.76,20.76,17.85,28,19.5,0.8,307
7/2/19 6:33,21.75,20.83,17.74,58,19.7,1.1,204
7/2/19 6:48,21.75,20.83,17.77,70,20,0.6,292
7/2/19 7:03,21.73,20.83,17.86,66,20.2,1.4,218
7/2/19 7:18,21.72,20.82,17.86,215,20.7,0,0
7/2/19 7:33,21.73,20.77,17.81,283,21.2,1.3,205
7/2/19 7:48,21.74,20.8,17.88,250,22.2,1.1,224
7/2/19 8:03,21.74,20.82,17.91,250,23.8,0.7,249
7/2/19 8:18,21.74,20.85,17.98,289,25.7,0.6,252
7/2/19 8:33,21.73,20.83,18.02,292,26.5,0.6,258
7/2/19 8:48,21.6,20.82,17.94,437,27.8,0.3,0
7/2/19 9:03,21.76,20.83,17.82,260,28.8,0.5,251
7/2/19 9:18,21.81,20.83,17.94,437,29.1,0.6,271
7/2/19 9:33,21.83,20.83,17.99,473,28.3,0.5,276
7/2/19 9:48,21.88,20.84,17.92,866,28.4,0.7,288
7/2/19 10:03,21.9,20.84,17.85,974,29.2,0.4,264
7/2/19 10:18,21.92,20.84,17.63,840,29,1.4,217
7/2/19 10:33,21.95,20.82,17.58,1006,27.8,0.8,252
7/2/19 10:48,22.02,20.84,17.54,727,29.2,0.8,250
7/2/19 11:03,22,20.85,17.75,187,29.5,1.9,216
7/2/19 11:18,22.05,20.8,17.62,1095,29.6,0.9,293
